Kategoria;Grupa;Podgrupa (wymiary);Wymiar 1;Wymiar 2;Jednostka miary;"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024";
"KULTURA ";"BIBLIOTEKI";"Komputeryzacja bibliotek (Wymiary: Rodzaje bibliotek; Komputery)";"biblioteki publiczne";"biblioteki, które posiadają dostęp do Internetu szerokopasmowego";"ob.";;;;;;;;;;;;;;;;;;;;15;15;13;12;12;12;12;12;12;12;12;
"KULTURA ";"BIBLIOTEKI";"Komputeryzacja bibliotek (Wymiary: Rodzaje bibliotek; Komputery)";"biblioteki publiczne";"biblioteki, które oferują katalog on-line";"ob.";;;;;;;;;;;;;;;;;;;;15;15;14;12;12;12;12;12;12;12;12;
"KULTURA ";"BIBLIOTEKI";"Komputeryzacja bibliotek (Wymiary: Rodzaje bibliotek; Komputery)";"biblioteki publiczne";"biblioteki, które oferują możliwość zdalnego składania zamówień na materiały biblioteczne";"ob.";;;;;;;;;;;;;;;;;;;;14;14;13;12;12;12;12;12;12;12;12;
"KULTURA ";"BIBLIOTEKI";"Komputeryzacja bibliotek (Wymiary: Rodzaje bibliotek; Komputery)";"biblioteki naukowe, fachowe, pedagogiczne, fachowo-beletrystyczne, towarzystw naukowych, ośr. inf. naukowej, technicznej i ekonomicznej";"komputery użytkowane w bibliotece ogółem";"szt.";;;;;;;;;;;;;196;;224;;220;226;216;214;210;215;205;192;193;173;174;173;178;158;
"KULTURA ";"BIBLIOTEKI";"Komputeryzacja bibliotek (Wymiary: Rodzaje bibliotek; Komputery)";"biblioteki naukowe, fachowe, pedagogiczne, fachowo-beletrystyczne, towarzystw naukowych, ośr. inf. naukowej, technicznej i ekonomicznej";"komputery użytkowane w bibliotece dostępne dla czytelników";"szt.";;;;;;;;;;;;;129;;142;;127;130;123;161;162;130;134;118;104;101;101;100;100;103;
"KULTURA ";"BIBLIOTEKI";"Komputeryzacja bibliotek (Wymiary: Rodzaje bibliotek; Komputery)";"biblioteki naukowe, fachowe, pedagogiczne, fachowo-beletrystyczne, towarzystw naukowych, ośr. inf. naukowej, technicznej i ekonomicznej";"komputery wykorzystywane do prac biblioteczno - bibliograficznych ogółem";"szt.";;;;;;;;;;;;;88;;193;;65;68;64;;;;;;;;;;;;
"KULTURA ";"BIBLIOTEKI";"Komputeryzacja bibliotek (Wymiary: Rodzaje bibliotek; Komputery)";"biblioteki naukowe, fachowe, pedagogiczne, fachowo-beletrystyczne, towarzystw naukowych, ośr. inf. naukowej, technicznej i ekonomicznej";"komputery wykorzystywane do prac biblioteczno - bibliograficznych - terminale katalogowe dla czytelników";"szt.";;;;;;;;;;;;;40;;123;;;;;;;;;;;;;;;;
"KULTURA ";"BIBLIOTEKI";"Komputeryzacja bibliotek (Wymiary: Rodzaje bibliotek; Komputery)";"biblioteki naukowe, fachowe, pedagogiczne, fachowo-beletrystyczne, towarzystw naukowych, ośr. inf. naukowej, technicznej i ekonomicznej";"komputery wykorzystywane do prac biblioteczno - bibliograficznych - do ewidencji czytelników i udostępnień";"szt.";;;;;;;;;;;;;;;;;26;28;25;;;;;;;;;;;;
"KULTURA ";"BIBLIOTEKI";"Komputeryzacja bibliotek (Wymiary: Rodzaje bibliotek; Komputery)";"biblioteki naukowe, fachowe, pedagogiczne, fachowo-beletrystyczne, towarzystw naukowych, ośr. inf. naukowej, technicznej i ekonomicznej";"komputery podłączone do Internetu";"szt.";;;;;;;;;;;;;181;;188;;171;178;168;;;;;;;;;;;;
"KULTURA ";"BIBLIOTEKI";"Komputeryzacja bibliotek (Wymiary: Rodzaje bibliotek; Komputery)";"biblioteki naukowe, fachowe, pedagogiczne, fachowo-beletrystyczne, towarzystw naukowych, ośr. inf. naukowej, technicznej i ekonomicznej";"komputery podłączone do Internetu dostępne dla czytelników";"szt.";;;;;;;;;;;;;125;;108;;86;90;84;115;105;106;100;85;89;94;94;93;91;95;
"KULTURA ";"BIBLIOTEKI";"Komputeryzacja bibliotek (Wymiary: Rodzaje bibliotek; Komputery)";"biblioteki naukowe, fachowe, pedagogiczne, fachowo-beletrystyczne, towarzystw naukowych, ośr. inf. naukowej, technicznej i ekonomicznej";"biblioteki, które umożliwiają podłączenie komputera (urządzenia mobilnego) użytkownika do gniazda elektrycznego";"szt.";;;;;;;;;;;;;;;;;;;;8;6;6;6;5;;;;;;;
